#      Omega(a)             rho_vir/rho_crit     delta_crit^0
     7.4206589469887D-02    58.842829364003    1.6624199802962
     7.5246060866977D-02    59.081207983878    1.6625451582299
     7.6284321764853D-02    59.318002783761    1.6626686512907
     7.7321409034256D-02    59.553254068899    1.6627905065237
     7.8357357868539D-02    59.787000459732    1.6629107689445
     7.9392201888344D-02    60.019278988963    1.6630297754563
     8.0425973235841D-02    60.250125191701    1.6631469768344
     8.1458702659095D-02    60.479573189285    1.6632627094607
     8.2490419595885D-02    60.707655766813    1.6633770113204
     8.3521152247090D-02    60.934404445538    1.6634899188809
     8.4550927646553D-02    61.159849550189    1.6636014671739
     8.5579771725682D-02    61.384020271765    1.6637116898716
     8.6607709373744D-02    61.606944726119    1.6638206193583
     8.7634764493860D-02    61.828650008739    1.6639282867973
     8.8660960055320D-02    62.049162245951    1.6640347221928
     8.9686318142489D-02    62.268506642873    1.6641399544487
     9.0710860000412D-02    62.486707528354    1.6642440114230
     9.1734606077486D-02    62.703788397133    1.6643469199793
     9.2757576065178D-02    62.919771949426    1.6644487060350
     9.3779788937196D-02    63.134680128011    1.6645493946040
     9.4801262981137D-02    63.348534153440    1.6646490098449
     9.5822015834674D-02    63.561354556742    1.6647475750954
     9.6842064516636D-02    63.773161210445    1.6648451129099
     9.7861425452842D-02    63.983973358040    1.6649416451007
     9.8880114507244D-02    64.193809641317    1.6650371927649
     9.9897982577194D-02    64.402654454992    1.6651317611144
     1.0091537435044D-01    64.610592994665    1.6652254005590
     1.0193213868508D-01    64.817608231970    1.6653181147958
     1.0294828943722D-01    65.023716649148    1.6654099223688
     1.0396384001278D-01    65.228934243815    1.6655008412542
     1.0497880339062D-01    65.433276548458    1.6655908888780
    0.10599319213891    65.636758649314    1.6656800821419
    0.10700701843261    65.839395204133    1.6657684374445
    0.10802029407167    66.041200458924    1.6658559706987
    0.10903303049253    66.242188264280    1.6659426973573
    0.11004523878851    66.442372090200    1.6660286324228
    0.11105692971814    66.641765040993    1.6661137904734
    0.11206811372263    66.840379868751    1.6661981856732
    0.11307880093626    67.038228986644    1.6662818317912
    0.11408900120068    67.235324481239    1.6663647422128
    0.11509872407239    67.431678124716    1.6664469299606
    0.11610797883756    67.627301385920    1.6665284077012
    0.11711677452043    67.822205441352    1.6666091877614
    0.11812511989349    68.016401185482    1.6666892821404
    0.11913302348692    68.209899240619    1.6667687025208
    0.12014049359746    68.402709966353    1.6668474602809
    0.12114753829705    68.594843468570    1.6669255665043
    0.12215416544089    68.786309608078    1.6670030319911
    0.12316038267525    68.977118008850    1.6670798672672
    0.12416619744449    69.167278065960    1.6671560825945
    0.12517161700011    69.356798952984    1.6672316879769
    0.12617664840365    69.545689629553    1.6673066931749
    0.12718129853699    69.733958847984    1.6673811077077
    0.12818557410675    69.921615160082    1.6674549408642
    0.12918948165052    70.108666923496    1.6675282017101
    0.13019302754252    70.295122307842    1.6676008990948
    0.13119621799914    70.480989300571    1.6676730416587
    0.13219905908371    70.666275712648    1.6677446378405
    0.13320155671311    70.850989183837    1.6678156958808
    0.13420371666059    71.035137188071    1.6678862238314
    0.13520554455981    71.218727038503    1.6679562295625
    0.13620704591363    71.401765891954    1.6680257207612
    0.13720822609232    71.584260754043    1.6680947049462
    0.13820909034230    71.766218483252    1.6681631894661
    0.13920964378800    71.947645795380    1.6682311815078
    0.14020989143597    72.128549267642    1.6682986881001
